input_vo,AmRefRfw,Cvs,Rap,sfact,c3
P21_Hx,108.07418823242188,0.0891307830810546,140.1018524169922,0.5927337646484375,0.0330021299362182
P21_Hx,106.80130004882812,0.2423053741455078,139.0497589111328,0.6681182861328125,0.0235286569595336
P21_Hx,120.7452392578125,0.1243545532226562,95.91766357421876,0.59620361328125,0.0012687202453613
P21_Hx,114.02999877929688,0.1688091278076172,151.1461639404297,0.6406585693359375,0.0084188886642456
P21_Hx,116.1803284831027,0.1300221794700555,139.17169297473637,0.278779428557915,0.0139603088644225
P21_Hx,122.77359008789062,0.067874526977539,98.63441467285156,0.9485260009765626,0.0210325288772583
P21_Hx,104.80606079101562,0.1120121002197265,83.83033752441406,0.4516265869140625,0.0332044878005981
P21_Hx,111.50765305131426,0.2281602180744649,153.35052669311136,0.4120571467915431,0.0181782254992795
P21_Hx,104.79110717773438,0.0609462738037109,104.71092224121094,0.3676483154296875,0.0060233678817749
P21_Hx,108.02215576171876,0.1023384094238281,123.49746704101562,0.472125244140625,0.007252949142456
P21_Hx,112.83050537109376,0.1452674865722656,128.26980590820312,0.9855285644531252,0.0339519924163818
P21_Hx,113.64994352742538,0.241261703216142,152.14088207836969,0.241159581920487,0.0029283868595718
P21_Hx,127.66082763671876,0.1139839172363281,89.96719360351562,0.770367431640625,0.0003628734588623
P21_Hx,108.81757913008666,0.1653920689255821,138.55019394214935,0.4763928583667173,0.0208876822110861
P21_Hx,110.83587646484376,0.1112648010253906,87.38235473632812,0.5971008300781251,0.0201017208099365
P21_Hx,119.87060401122014,0.0526599731461938,127.79173085016905,0.915564467446106,0.0455149312923674
P21_Hx,127.52349853515624,0.2266899108886718,147.34420776367188,0.798065185546875,0.0244895709991455
P21_Hx,127.305908203125,0.0932586669921875,73.0279541015625,0.9554931640625,0.0020270858764648
P21_Hx,113.39157104492188,0.1614574432373046,90.5242156982422,0.8670501708984375,0.0134843137741088
P21_Hx,121.298828125,0.1158447265625,118.2177734375,0.7861328125,0.0327199340820312
P21_Hx,109.90615844726562,0.2082340240478515,100.58692932128906,0.8715972900390625,0.0251833421707153
P21_Hx,113.28781127929688,0.1638286590576171,116.28288269042967,0.9898773193359376,0.0241746015548706
P21_Hx,112.37136840820312,0.0618457794189453,80.86311340332031,0.5832794189453125,0.0196339349746704
P21_Hx,104.07379150390624,0.0597892761230468,54.05929565429688,0.444891357421875,0.0190415332794189
P21_Hx,119.55566404975,0.2988063242625142,152.49318785532066,0.6068653610226358,0.0134364742964479
P21_Hx,116.10992431640624,0.2513542175292969,158.29025268554688,0.679168701171875,0.0411934314727783
P21_Hx,129.23904418945312,0.2215320587158203,162.3218536376953,0.9582305908203126,0.0182101892471313
P21_Hx,126.06593916309993,0.0856560758995845,110.57304166582212,0.699138332676672,0.0192091550614235
P21_Hx,103.46535916415428,0.0968485446815236,89.36250552810034,0.6302560013499878,0.0338354450998495
P21_Hx,109.30679321289062,0.122000503540039,57.78968811035156,0.8690338134765625,0.0295079317092895
P21_Hx,120.5537750045969,0.2531301195425012,157.41274332864614,0.6811363029088594,0.0091531410827593
P21_Hx,126.39926509053956,0.2746994135985494,167.05423147940746,0.7628277818550113,0.0069832554484811
P21_Hx,105.41717529296876,0.1906135559082031,161.63345336914062,0.283990478515625,0.0297493511199951
P21_Hx,118.39208837634456,0.159545846937963,135.603211433094,0.5017827194635992,0.0175128395377404
P21_Hx,110.85311889648438,0.0694972991943359,114.61448669433594,0.7865447998046875,0.0377329595565795
P21_Hx,112.84805297851562,0.0974002838134765,149.06227111816406,0.3202789306640625,0.0101867570877075
P21_Hx,115.1318359375,0.15338134765625,100.93994140625,0.60966796875,0.0124338439941406
P21_Hx,114.40933227539062,0.177554702758789,101.83021545410156,0.6328033447265625,0.0462087434768676
P21_Hx,121.62643432617188,0.0627819061279296,117.7910614013672,0.7480560302734376,0.0389562528610229
P21_Hx,119.7949841766747,0.2635325983129775,132.96503635711372,0.6583480721085494,0.015228355412297
P21_Hx,118.504638671875,0.1912750244140625,126.6473388671875,0.4645263671875,0.0399621353149414
P21_Hx,117.25838825279853,0.1592116292772414,138.1361930843083,0.3995845787383519,0.0280382531674159
P21_Hx,122.55910046658416,0.2330168648266393,142.96981197763364,0.9429816473027092,0.0408345177322909
P21_Hx,118.28994750976562,0.2163272857666015,146.95167541503906,0.4257965087890625,0.0045192125320434
P21_Hx,101.4840338156027,0.0799650844168466,95.62928268867697,0.4590291663415459,0.0461401947235874
P21_Hx,114.7470787047537,0.1452180555006948,133.78179188557672,0.2586893808046395,0.0106409955511447
P21_Hx,113.310546875,0.1476318359375,92.8564453125,0.8255859375000001,0.0439147827148437
P21_Hx,121.16104125976562,0.1526065826416015,113.93409729003906,0.7214996337890625,0.0348355455398559
P21_Hx,118.80340576171876,0.1081977844238281,140.45059204101562,0.494000244140625,0.024228144454956
P21_Hx,117.04501367601156,0.1369258743017176,154.46905596442943,0.9439114737209194,0.0351494054806869
P21_Hx,122.05276489257812,0.0675312042236328,127.9499053955078,0.8707061767578126,0.0457933572769165
P21_Hx,123.80767822265624,0.2455497741699218,166.60446166992188,0.615936279296875,0.0004108905792236
P21_Hx,119.0552958873696,0.0780911914365777,102.15990810294394,0.7380363528042018,0.0368275439217914
P21_Hx,100.13804804118055,0.1818503801103678,159.3409260244434,0.3386093087712902,0.0453457774564394
P21_Hx,118.72451782226562,0.0873111724853515,96.92970275878906,0.6292144775390625,0.010122734260559
P21_Hx,117.69671139848067,0.1336417169945278,155.2157168333786,0.8318508714541801,0.0466158803711198
P21_Hx,108.20587158203124,0.1441001892089843,159.39682006835938,0.425042724609375,0.0179546695709228
