,AmRefRfw,Cvp,Cas,Cvs,Cap,Rvp,Rcs,Ras,Rvs,Rcp,Rap,Rav,sfact,c3,RVEDV,RVESV,RVEDP,RVMaxP,RVSV
34,107.900390625,0.005866943359375,0.001061962890625,0.1723095703125,0.0045102539062499,12.47998046875,30.556640625,584.92431640625,2.3480224609375,13.38134765625,157.0458984375,1.04443359375,0.4123046875,0.0387929565429687,0.050108261635264315,0.02488338366405379,2.179864446940348,40.92001541201282,0.025224877971210525
35,128.84765625,0.00522314453125,0.00092060546875,0.133662109375,0.0020869140625,6.1591796875,31.34765625,481.4697265625,2.211865234375,5.3759765625,38.818359375,14.8974609375,0.256640625,0.0135862548828125,0.07184674728041152,0.04671879222706886,5.005873773019908,19.675381369454293,0.025127955053342657
36,132.7734375,0.0015361328125,0.0016798828125,0.12951171875,0.009326171875,9.083984375,67.2265625,433.740234375,2.07666015625,12.548828125,35.05859375,1.369140625,0.24296875,0.008001025390625,0.09299147588913415,0.06236917132817212,2.90310383083673,35.092752407121885,0.030622304560962023
37,138.896484375,0.005783447265625,0.000892529296875,0.1342724609375,0.0086870117187499,7.55322265625,33.818359375,409.50927734375,2.5974853515625,11.85302734375,89.1650390625,13.53369140625,0.7408203125000001,0.0332565063476562,0.07806205707667989,0.05521348077957604,4.276122614551652,28.937247835609522,0.02284857629710385
38,136.337890625,0.001859130859375,0.001757275390625,0.1449658203125,0.0107446289062499,9.12060546875,68.369140625,594.68994140625,1.0988037109375,12.05322265625,125.3271484375,4.43505859375,0.4310546875,0.0212324096679687,0.08720143126165143,0.06014408376262237,2.1818883772013673,35.28161531718069,0.027057347499029064
39,100.8203125,0.0095693359375,0.0008224609375,0.15587890625,0.0070566406249999,9.845703125,43.2421875,497.705078125,3.95810546875,5.888671875,154.00390625,8.779296875,0.69453125,0.040097802734375,0.028392599316344705,0.006660544355289589,4.992005635181824,32.760506409247554,0.021732054961055115
40,106.015625,0.003478515625,0.001653515625,0.0981640625,0.01305859375,12.47265625,58.203125,569.23828125,0.6865234375,13.02734375,33.0078125,12.29296875,0.8046875,0.00463525390625,0.025280144663757307,-0.003385192416781046,4.111440509341127,23.640261245673724,0.028665337080538353
41,103.798828125,0.003537841796875,0.001492626953125,0.1220166015625,0.00928173828125,9.11083984375,43.876953125,383.50830078125,0.3637451171875,13.07861328125,49.7216796875,3.79248046875,0.8724609375000001,0.0264517944335937,0.04295155833029265,0.004535599710479111,2.8792097827729726,38.5594024557551,0.038415958619813534
42,100.52734375,0.00287646484375,0.00102509765625,0.110322265625,0.0067763671874999,7.5751953125,65.13671875,515.4052734375,2.680322265625,9.7998046875,90.908203125,5.7509765625,0.518359375,0.0358783935546875,0.03634088361027491,0.008046230764716762,4.883969714100605,34.847185843253506,0.028294652845558148
43,126.07421875,0.00686669921875,0.00095673828125,0.162080078125,0.0124912109375,9.6650390625,31.46484375,591.0888671875,0.4180175781249999,13.9990234375,78.056640625,10.0439453125,0.966796875,0.0377320068359375,0.055527361774443104,0.033644155776733714,2.711299655069926,27.82259358304251,0.02188320599770939
44,139.84375,0.00103515625,0.00110859375,0.135078125,0.0090390625,11.1640625,35.15625,509.1796875,3.375390625,8.0078125,122.421875,9.3671875,0.265625,0.0338052734375,0.0995804437633857,0.07887185368670141,4.272172511885813,27.9418146516059,0.020708590076684297
45,113.359375,0.005623046875,0.001430859375,0.1485546875,0.01387890625,6.10546875,63.984375,458.88671875,2.2556640625,5.48828125,69.6484375,2.94140625,0.3015625,0.03878076171875,0.055619090596616946,0.032204211766974404,3.0194494343268183,22.574384867365215,0.023414878829642542
46,139.53125,0.00701171875,0.00155390625,0.098359375,0.0137421875,8.2734375,34.84375,522.8515625,2.979296875,12.7734375,60.078125,1.8203125,0.971875,0.0466830078125,0.09177887178855804,0.05485775909796763,2.708292016724961,33.20150729553924,0.0369211126905904
47,104.53125,0.00363671875,0.00167890625,0.110859375,0.0014921875,4.5234375,69.84375,554.1015625,3.466796875,14.0234375,77.578125,14.0703125,0.271875,0.0404392578125,0.0420292828855956,0.0222298194424269,6.011735259326466,28.592427792232552,0.0197994634431687
48,119.794921875,0.007145751953125,0.001649365234375,0.1775341796875,0.00829052734375,12.64111328125,32.763671875,370.20263671875,3.1116455078125,14.08935546875,128.4033203125,5.72705078125,0.5072265625000001,0.0013060668945312,0.05144560713696176,0.025063324786374946,3.429198961337522,36.16161978166705,0.026382282350586813
49,101.923828125,0.005084716796875,0.001289501953125,0.1110791015625,0.0147504882812499,8.32958984375,34.501953125,434.28955078125,2.3746826171875,14.17236328125,78.1591796875,10.57373046875,0.2349609375,0.0412807006835937,0.03736473511158505,0.01855899290157496,4.394866431900711,24.41597260048723,0.01880574221001009
50,129.599609375,0.009843994140625,0.000949169921875,0.1258740234374999,0.0127612304687499,3.43212890625,32.802734375,353.35693359375,2.0261962890625,5.77880859375,58.8134765625,14.49072265625,0.8923828125,0.0493536743164062,0.062449841085903554,0.04114453452050746,4.544661813282482,18.249323095285067,0.021305306565396094
51,110.185546875,0.004913330078125,0.001545849609375,0.1722607421874999,0.00870068359375,3.28564453125,62.216796875,351.15966796875,3.6677001953125,8.36669921875,107.3486328125,13.02783203125,0.3775390625,0.0053059692382812,0.03285200732182621,0.012500372853141784,4.333371064284323,23.74182221342947,0.020351634468684425
52,139.091796875,0.004456298828125,0.001229443359375,0.1632763671875,0.00820849609375,9.96533203125,59.248046875,543.54248046875,2.6774658203125,13.09326171875,34.6142578125,10.56689453125,0.5056640625,0.0351588989257812,0.08239710696198876,0.05905531309461447,3.9542633117478965,22.424511498587943,0.023341793867374297
53,112.197265625,0.008837646484375,0.001485791015625,0.0834423828125,0.01405322265625,12.30419921875,60.166015625,500.45166015625,3.6200927734375,14.72900390625,53.9599609375,7.14208984375,0.2263671875,0.0490366088867187,0.05543502984780248,0.037066779801359986,4.916618101107229,24.87442139239771,0.01836825004644249
54,114.84375,0.00216015625,0.00148359375,0.097578125,0.0037890625,4.9140625,30.15625,477.9296875,3.862890625,6.7578125,104.921875,4.1171875,0.365625,0.0150740234375,0.06318621569427685,0.0318685631510593,5.302441798553626,37.616969487568184,0.03131765254321755
55,100.244140625,0.006042724609375,0.001768994140625,0.1477001953125,0.00401806640625,3.61279296875,57.275390625,412.07275390625,1.9366943359375,8.42041015625,155.4052734375,10.50537109375,0.5091796875000001,0.0421099487304687,0.03544291315083093,0.011874580391946684,4.181324767644067,35.81987389993911,0.023568332758884245
56,101.162109375,0.001336181640625,0.000988232421875,0.1672802734375,0.00477685546875,5.69775390625,51.240234375,577.96630859375,1.2644775390625,13.20068359375,110.2197265625,10.22509765625,0.7736328125,0.0481829711914062,0.03120122664780029,0.007167253897906232,4.3802025448071715,37.056838715815644,0.024033972749894057
57,100.95703125,0.00798291015625,0.00103583984375,0.136201171875,0.0014033203125,11.5302734375,58.14453125,410.6689453125,1.381591796875,9.2236328125,107.451171875,12.8466796875,0.986328125,0.0240250244140625,0.030388510048841653,0.0014786268423222079,4.887896083438522,37.957518577546786,0.028909883206519445
58,132.294921875,0.005458251953125,0.001461865234375,0.0837841796875,0.00916552734375,4.51611328125,65.263671875,448.32763671875,2.8678955078125,7.21435546875,102.1533203125,11.85205078125,0.2572265625,0.0231591918945312,0.08725263300355966,0.06385275278522334,4.829436945467495,28.275304288357944,0.02339988021833632
59,132.177734375,0.009263916015625,0.001294873046875,0.0916943359375,0.00611669921875,12.82666015625,34.912109375,543.29833984375,3.8619384765625,6.89208984375,110.4931640625,7.24462890625,0.9064453125,0.0119887329101562,0.07112171043077842,0.0379945234560221,4.870403566821728,35.38518422873671,0.03312718697475632
60,108.80859375,0.00748193359375,0.00121650390625,0.1755566406249999,0.0136123046875,5.5048828125,33.41796875,582.7880859375,1.720556640625,8.9013671875,88.173828125,9.9619140625,0.790234375,0.0310004638671875,0.03008632954418518,0.010476283660522284,3.1809848522778115,23.54820669769352,0.0196100458836629
61,135.703125,0.007064453125,0.000880078125,0.1598828125,0.0066054687499999,6.92578125,61.640625,399.31640625,2.2404296875,10.29296875,80.0390625,9.33984375,0.5109375,0.00424501953125,0.06963331676882667,0.0420797312957241,3.988093143678575,27.886400017032475,0.02755358547310257
62,128.59375,0.00356640625,0.00120234375,0.150703125,0.0033515625,6.4765625,58.90625,454.4921875,3.009765625,10.8203125,153.046875,8.0546875,0.340625,0.0166349609375,0.08277080339931042,0.05597054772310157,4.35264286354211,39.071243492989986,0.026800255676208855
63,126.484375,0.008576171875,0.001446484375,0.0876171875,0.00972265625,5.01171875,35.859375,587.79296875,1.0978515625,10.64453125,80.5859375,1.41015625,0.9140625,0.02707373046875,0.07533238697959987,0.0355235009142433,1.8070817149381482,39.48623312906461,0.039808886065356576
64,115.25390625,0.00771923828125,0.00169013671875,0.174677734375,0.0013759765625,8.7763671875,35.56640625,525.4150390625,1.130224609375,12.2900390625,158.583984375,7.8427734375,0.8285156250000001,0.0028548095703125,0.0465199823297905,0.01770841394828099,3.6934986166952286,45.079451062332744,0.02881156838150951
